Date,Description,Amount,Type,Balance,Category
2025-01-16,Gas Station,-52.35,debit,17264.2,Transport
2025-01-16,Grocery Store,-69.85,debit,17194.35,Food & Drinks
2025-01-17,Target,-98.4,debit,17095.95,Shopping
2025-01-17,Spotify,-9.99,debit,17085.96,Entertainment
2025-01-18,Uber,-24.1,debit,17061.86,Transport
2025-01-18,Starbucks,-13.2,debit,17048.66,Food & Drinks
2025-01-19,Pizza Hut,-42.3,debit,17006.36,Food & Drinks
2025-01-19,Parking Garage,-18.0,debit,16988.36,Transport
2025-01-20,Grocery Store,-76.95,debit,16911.41,Food & Drinks
2025-01-20,Cinema,-29.0,debit,16882.41,Entertainment
2025-01-21,Water Company,-47.9,debit,16834.51,Utilities
2025-01-21,McDonald's,-17.65,debit,16816.86,Food & Drinks
2025-01-22,Best Buy,-167.99,debit,16648.87,Shopping
2025-01-22,Gas Station,-48.75,debit,16600.12,Transport
2025-01-23,Restaurant XYZ,-83.6,debit,16516.52,Food & Drinks
2025-01-23,Uber,-21.95,debit,16494.57,Transport
2025-01-24,Grocery Store,-72.4,debit,16422.17,Food & Drinks
2025-01-24,Amazon,-95.3,debit,16326.87,Shopping
2025-01-25,Starbucks,-12.5,debit,16314.37,Food & Drinks
2025-01-25,Local Cafe,-10.15,debit,16304.22,Food & Drinks
