Date,Description,Amount,Type,Balance
2025-01-08,Gym Membership,-45.00,debit,14085.98
2025-01-08,Gas Station,-49.25,debit,14036.73
2025-01-09,Grocery Store,-74.30,debit,13962.43
2025-01-09,Pharmacy,-36.80,debit,13925.63
2025-01-10,McDonald's,-15.90,debit,13909.73
2025-01-10,Uber,-20.40,debit,13889.33
2025-01-11,Electric Company,-142.50,debit,13746.83
2025-01-11,Starbucks,-12.75,debit,13734.08
2025-01-12,Restaurant XYZ,-77.90,debit,13656.18
2025-01-12,Metro Card,-40.00,debit,13616.18
2025-01-13,Walmart,-87.65,debit,13528.53
2025-01-13,Coffee Shop,-9.80,debit,13518.73
2025-01-14,Freelance Payment,1100.00,credit,14618.73
2025-01-14,Amazon,-84.50,debit,14534.23
2025-01-15,Salary Deposit,2847.32,credit,17381.55
2025-01-15,Phone Bill,-65.00,debit,17316.55
2025-01-16,Gas Station,-52.35,debit,17264.20
2025-01-16,Grocery Store,-69.85,debit,17194.35
2025-01-17,Target,-98.40,debit,17095.95
2025-01-17,Spotify,-9.99,debit,17085.96
2025-01-18,Uber,-24.10,debit,17061.86
2025-01-18,Starbucks,-13.20,debit,17048.66
2025-01-19,Pizza Hut,-42.30,debit,17006.36
2025-01-19,Parking Garage,-18.00,debit,16988.36
2025-01-20,Grocery Store,-76.95,debit,16911.41
2025-01-20,Cinema,-29.00,debit,16882.41
2025-01-21,Water Company,-47.90,debit,16834.51
2025-01-21,McDonald's,-17.65,debit,16816.86
2025-01-22,Best Buy,-167.99,debit,16648.87
2025-01-22,Gas Station,-48.75,debit,16600.12
2025-01-23,Restaurant XYZ,-83.60,debit,16516.52
2025-01-23,Uber,-21.95,debit,16494.57
2025-01-24,Grocery Store,-72.40,debit,16422.17
2025-01-24,Amazon,-95.30,debit,16326.87
2025-01-25,Starbucks,-12.50,debit,16314.37
2025-01-25,Local Cafe,-10.15,debit,16304.22
